_id,productId,productName,tags
66d9e0e87beab6ea22944ca4,1001,Blue Striped T-shirt,"clothing, blue, striped, casual, cotton"
66d9e0e87beab6ea22944ca5,1002,Red Dress,"clothing, red, dress, formal, elegant"
66d9e0e87beab6ea22944ca6,1003,Adventure Backpack,"outdoor, travel, hiking, camping, durable"
66d9e0e87beab6ea22944ca7,1004,Lego Building Set,"toys, kids, creative, educational, fun"
66d9e0e87beab6ea22944ca8,1005,Romantic Comedy DVD,"movies, comedy, romance, funny, love"
66d9e0e87beab6ea22944ca9,1006,Mystery Novel,"books, mystery, detective, suspenseful, thriller"
66d9e0e87beab6ea22944caa,1007,Sci-Fi Action Figure,"toys, sci-fi, action, collectible, futuristic"
66d9e0e87beab6ea22944cab,1008,Black Leather Jacket,"clothing, black, leather, jacket, outerwear"
66d9e0e87beab6ea22944cac,1009,Running Shoes,"footwear, sports, running, athletic, comfortable"
66d9e0e87beab6ea22944cad,1010,Hiking Boots,"footwear, outdoor, hiking, waterproof, durable"
66d9e0e87beab6ea22944cae,1011,Coffee Maker,"kitchen, appliances, coffee, brewing, automatic"
66d9e0e87beab6ea22944caf,1012,Blender,"kitchen, appliances, blending, smoothies, food prep"
66d9e0e87beab6ea22944cb0,1013,Laptop,"electronics, computer, portable, work, productivity"
66d9e0e87beab6ea22944cb1,1014,Smartphone,"electronics, phone, communication, mobile, internet"
66d9e0e87beab6ea22944cb2,1015,Headphones,"electronics, audio, music, listening, noise-canceling"
66d9e0e87beab6ea22944cb3,1016,Wireless Speaker,"electronics, audio, music, portable, Bluetooth"
66d9e0e87beab6ea22944cb4,1017,Camera,"electronics, photography, capturing, memories, DSLR"
66d9e0e87beab6ea22944cb5,1018,Gaming Console,"electronics, gaming, entertainment, video games, console"
66d9e0e87beab6ea22944cb6,1019,Television,"electronics, entertainment, TV, movies, streaming"
66d9e0e87beab6ea22944cb7,1020,Sofa,"furniture, living room, seating, comfortable, relaxation"
66d9e0e87beab6ea22944cb8,1021,Dining Table,"furniture, dining room, eating, meals, family"
66d9e0e87beab6ea22944cb9,1022,Bed,"furniture, bedroom, sleeping, rest, comfort"
66d9e0e87beab6ea22944cba,1023,Mattress,"furniture, bedroom, sleeping, support, comfort"
66d9e0e87beab6ea22944cbb,1024,Painting,"home decor, art, wall, decoration, colorful"
66d9e0e87beab6ea22944cbc,1025,Vase,"home decor, decoration, flowers, centerpiece, elegant"
66d9e0e87beab6ea22944cbd,1026,Rug,"home decor, flooring, decoration, warmth, comfort"
66d9e0e87beab6ea22944cbe,1027,Curtains,"home decor, windows, privacy, light control, decoration"
66d9e0e87beab6ea22944cbf,1028,Shampoo,"personal care, hair, cleaning, hygiene, refreshing"
66d9e0e87beab6ea22944cc0,1029,Conditioner,"personal care, hair, conditioning, smooth, shiny"
66d9e0e87beab6ea22944cc1,1030,Soap,"personal care, body, cleaning, hygiene, moisturizing"
66d9e0e87beab6ea22944cc2,1031,Toothbrush,"personal care, oral, hygiene, cleaning, teeth"
66d9e0e87beab6ea22944cc3,1032,Toothpaste,"personal care, oral, hygiene, cleaning, teeth"
66d9e0e87beab6ea22944cc4,1033,Sunscreen,"personal care, skin, protection, sun, SPF"
66d9e0e87beab6ea22944cc5,1034,Moisturizer,"personal care, skin, hydration, smooth, soft"
66d9e0e87beab6ea22944cc6,1035,Perfume,"personal care, fragrance, scent, aroma, luxury"
66d9e0e87beab6ea22944cc7,1036,Deodorant,"personal care, body, odor control, freshness, hygiene"
66d9e0e87beab6ea22944cc8,1037,Makeup,"personal care, cosmetics, beauty, enhancement, glamour"
66d9e0e87beab6ea22944cc9,1038,Nail Polish,"personal care, cosmetics, nails, color, beauty"
66d9e0e87beab6ea22944cca,1039,Hair Dryer,"personal care, hair, styling, drying, heat"
66d9e0e87beab6ea22944ccb,1040,Hair Straightener,"personal care, hair, styling, straightening, heat"
66d9e0e87beab6ea22944ccc,1041,Curling Iron,"personal care, hair, styling, curling, heat"
66d9e0e87beab6ea22944ccd,1042,Shaving Cream,"personal care, shaving, smooth, close, men"
66d9e0e87beab6ea22944cce,1043,Razor,"personal care, shaving, hair removal, close, smooth"
66d9e0e87beab6ea22944ccf,1044,Electric Toothbrush,"personal care, oral, hygiene, cleaning, teeth, electric"
66d9e0e87beab6ea22944cd0,1045,Water Flosser,"personal care, oral, hygiene, cleaning, teeth, water"
66d9e0e87beab6ea22944cd1,1046,Mouthwash,"personal care, oral, hygiene, cleaning, freshness"
66d9e0e87beab6ea22944cd2,1047,Hand Sanitizer,"personal care, hygiene, cleaning, hands, germ-killing"
66d9e0e87beab6ea22944cd3,1048,Facial Cleanser,"personal care, skin, cleaning, hygiene, face"
66d9e0e87beab6ea22944cd4,1049,Toner,"personal care, skin, cleansing, balancing, pH"
66d9e0e87beab6ea22944cd5,1050,Serum,"personal care, skin, treatment, targeted, concerns"
